category,substance,sample_type,unit,year,age_group_en,age_group_kr,statistic,value
중금속,납,전혈,㎍/dL,2023,middle_high_school,중고등학생,geometric_mean,0.2
중금속,납,전혈,㎍/dL,2023,middle_high_school,중고등학생,p95,0.403
중금속,납,전혈,㎍/dL,2023,adult,성인,geometric_mean,1.44
중금속,납,전혈,㎍/dL,2023,adult,성인,p95,3.62
중금속,납,요,㎍/L,2023,preschool,영유아,geometric_mean,0.507
중금속,납,요,㎍/L,2023,preschool,영유아,p95,1.45
중금속,납,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.522
중금속,납,요,㎍/L,2023,elementary,초등학생,p95,1.22
중금속,납,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.53
중금속,납,요,㎍/L,2023,middle_high_school,중고등학생,p95,1.19
중금속,납,요,㎍/L,2023,adult,성인,geometric_mean,0.692
중금속,납,요,㎍/L,2023,adult,성인,p95,2.11
중금속,납,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.569
중금속,납,요,㎍/g cr.,2023,preschool,영유아,p95,1.78
중금속,납,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.423
중금속,납,요,㎍/g cr.,2023,elementary,초등학생,p95,0.961
중금속,납,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.316
중금속,납,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.695
중금속,납,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.695
중금속,납,요,㎍/g cr.,2023,adult,성인,p95,2.06
중금속,수은,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,1.19
중금속,수은,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,3.01
중금속,수은,전혈,㎍/L,2023,adult,성인,geometric_mean,2.52
중금속,수은,전혈,㎍/L,2023,adult,성인,p95,7.18
중금속,수은,요,㎍/L,2023,preschool,영유아,geometric_mean,0.277
중금속,수은,요,㎍/L,2023,preschool,영유아,p95,0.867
중금속,수은,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.291
중금속,수은,요,㎍/L,2023,elementary,초등학생,p95,0.889
중금속,수은,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.337
중금속,수은,요,㎍/L,2023,middle_high_school,중고등학생,p95,1.21
중금속,수은,요,㎍/L,2023,adult,성인,geometric_mean,0.34
중금속,수은,요,㎍/L,2023,adult,성인,p95,1.64
중금속,수은,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.32
중금속,수은,요,㎍/g cr.,2023,preschool,영유아,p95,0.887
중금속,수은,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.237
중금속,수은,요,㎍/g cr.,2023,elementary,초등학생,p95,0.584
중금속,수은,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.195
중금속,수은,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.552
중금속,수은,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.344
중금속,수은,요,㎍/g cr.,2023,adult,성인,p95,1.18
중금속,카드뮴,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.129
중금속,카드뮴,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.223
중금속,카드뮴,전혈,㎍/L,2023,adult,성인,geometric_mean,0.577
중금속,카드뮴,전혈,㎍/L,2023,adult,성인,p95,2.03
중금속,카드뮴,요,㎍/L,2023,preschool,영유아,geometric_mean,0.211
중금속,카드뮴,요,㎍/L,2023,preschool,영유아,p95,0.507
중금속,카드뮴,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.247
중금속,카드뮴,요,㎍/L,2023,elementary,초등학생,p95,0.576
중금속,카드뮴,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.286
중금속,카드뮴,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.68
중금속,카드뮴,요,㎍/L,2023,adult,성인,geometric_mean,0.594
중금속,카드뮴,요,㎍/L,2023,adult,성인,p95,2.18
중금속,카드뮴,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.239
중금속,카드뮴,요,㎍/g cr.,2023,preschool,영유아,p95,0.459
중금속,카드뮴,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.2
중금속,카드뮴,요,㎍/g cr.,2023,elementary,초등학생,p95,0.398
중금속,카드뮴,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.164
중금속,카드뮴,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.326
중금속,카드뮴,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.6
중금속,카드뮴,요,㎍/g cr.,2023,adult,성인,p95,2.22
중금속,망가니즈,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,2.54
중금속,망가니즈,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,3.75
중금속,망가니즈,전혈,㎍/L,2023,adult,성인,geometric_mean,16.6
중금속,망가니즈,전혈,㎍/L,2023,adult,성인,p95,31.1
중금속,망가니즈,요,㎍/L,2023,preschool,영유아,geometric_mean,0.234
중금속,망가니즈,요,㎍/L,2023,preschool,영유아,p95,0.636
중금속,망가니즈,요,㎍/L,2023,elementary,초등학생,geometric_mean,0.221
중금속,망가니즈,요,㎍/L,2023,elementary,초등학생,p95,0.639
중금속,망가니즈,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.234
중금속,망가니즈,요,㎍/L,2023,middle_high_school,중고등학생,p95,0.842
중금속,망가니즈,요,㎍/L,2023,adult,성인,geometric_mean,0.193
중금속,망가니즈,요,㎍/L,2023,adult,성인,p95,0.706
중금속,망가니즈,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,0.254
중금속,망가니즈,요,㎍/g cr.,2023,preschool,영유아,p95,0.807
중금속,망가니즈,요,㎍/g cr.,2023,elementary,초등학생,geometric_mean,0.175
중금속,망가니즈,요,㎍/g cr.,2023,elementary,초등학생,p95,0.581
중금속,망가니즈,요,㎍/g cr.,2023,middle_high_school,중고등학생,geometric_mean,0.139
중금속,망가니즈,요,㎍/g cr.,2023,middle_high_school,중고등학생,p95,0.57
중금속,망가니즈,요,㎍/g cr.,2023,adult,성인,geometric_mean,0.187
중금속,망가니즈,요,㎍/g cr.,2023,adult,성인,p95,0.914
중금속,몰리브데넘,전혈,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,0.112
중금속,몰리브데넘,전혈,㎍/L,2023,middle_high_school,중고등학생,p95,0.232
중금속,몰리브데넘,전혈,㎍/L,2023,adult,성인,geometric_mean,0.964
중금속,몰리브데넘,전혈,㎍/L,2023,adult,성인,p95,3.44
중금속,몰리브데넘,요,㎍/L,2023,preschool,영유아,geometric_mean,113.0
중금속,몰리브데넘,요,㎍/L,2023,preschool,영유아,p95,331.0
중금속,몰리브데넘,요,㎍/L,2023,elementary,초등학생,geometric_mean,102.0
중금속,몰리브데넘,요,㎍/L,2023,elementary,초등학생,p95,295.0
중금속,몰리브데넘,요,㎍/L,2023,middle_high_school,중고등학생,geometric_mean,81.0
중금속,몰리브데넘,요,㎍/L,2023,middle_high_school,중고등학생,p95,236.0
중금속,몰리브데넘,요,㎍/L,2023,adult,성인,geometric_mean,56.6
중금속,몰리브데넘,요,㎍/L,2023,adult,성인,p95,211.0
중금속,몰리브데넘,요,㎍/g cr.,2023,preschool,영유아,geometric_mean,129.0
